,id,name,Medulla,Pons,Midbrain,,Medulla,Pons,Midbrain,,Medulla,Pons,Midbrain,,Med av,Pons av,Midbrain av
71,1024,ctx-lh-precentral,334,173,29,,347,150,36,,330,166,49,,337,163,38
72,1025,ctx-lh-precuneus,9,9,8,,7,5,9,,5,6,7,,7,6.666666667,8
73,1026,ctx-lh-rostralanteriorcingulate,0,2,0,,1,0,0,,0,0,0,,0.333333333,0.666666667,0
74,1027,ctx-lh-rostralmiddlefrontal,11,7,3,,20,8,3,,10,13,6,,13.66666667,9.333333333,4
75,1028,ctx-lh-superiorfrontal,222,132,39,,216,138,24,,226,121,31,,221.3333333,130.3333333,31.33333333
76,1029,ctx-lh-superiorparietal,31,24,30,,29,34,24,,24,24,25,,28,27.33333333,26.33333333
77,1030,ctx-lh-superiortemporal,6,7,13,,7,7,7,,10,9,6,,7.666666667,7.666666667,8.666666667
78,1031,ctx-lh-supramarginal,29,17,11,,31,23,14,,18,16,12,,26,18.66666667,12.33333333
79,1032,ctx-lh-frontalpole,1,0,0,,0,0,0,,0,0,0,,0.333333333,0,0
80,1033,ctx-lh-temporalpole,0,0,0,,0,2,0,,0,1,0,,0,1,0
81,1034,ctx-lh-transversetemporal,0,0,0,,3,1,0,,0,1,0,,1,0.666666667,0
82,1035,ctx-lh-insula,3,4,1,,7,2,3,,4,1,3,,4.666666667,2.333333333,2.333333333
83,2000,ctx-rh-unknown,3,3,2,,5,5,3,,5,1,0,,4.333333333,3,1.666666667
84,2001,ctx-rh-bankssts,1,4,0,,2,2,0,,2,1,0,,1.666666667,2.333333333,0
85,2002,ctx-rh-caudalanteriorcingulate,7,5,1,,1,2,1,,4,0,0,,4,2.333333333,0.666666667
86,2003,ctx-rh-caudalmiddlefrontal,11,6,1,,13,12,0,,11,9,4,,11.66666667,9,1.666666667
87,2004,ctx-rh-corpuscallosum,0,0,0,,0,0,0,,0,0,0,,0,0,0
88,2005,ctx-rh-cuneus,1,2,1,,0,2,1,,1,1,2,,0.666666667,1.666666667,1.333333333
89,2006,ctx-rh-entorhinal,0,0,0,,2,0,0,,0,1,0,,0.666666667,0.333333333,0
90,2007,ctx-rh-fusiform,4,3,4,,2,6,4,,3,8,2,,3,5.666666667,3.333333333
91,2008,ctx-rh-inferiorparietal,9,7,3,,14,13,5,,13,12,7,,12,10.66666667,5
92,2009,ctx-rh-inferiortemporal,6,1,3,,5,2,2,,7,2,4,,6,1.666666667,3
93,2010,ctx-rh-isthmuscingulate,3,3,3,,6,1,3,,2,0,1,,3.666666667,1.333333333,2.333333333
94,2011,ctx-rh-lateraloccipital,3,5,5,,6,7,5,,9,13,4,,6,8.333333333,4.666666667
95,2012,ctx-rh-lateralorbitofrontal,2,1,2,,1,3,1,,3,3,3,,2,2.333333333,2
96,2013,ctx-rh-lingual,4,8,0,,2,4,4,,0,5,2,,2,5.666666667,2
97,2014,ctx-rh-medialorbitofrontal,2,1,0,,0,0,0,,0,1,0,,0.666666667,0.666666667,0
98,2015,ctx-rh-middletemporal,0,2,0,,2,4,1,,4,4,3,,2,3.333333333,1.333333333
99,2016,ctx-rh-parahippocampal,0,0,0,,0,0,0,,1,0,1,,0.333333333,0,0.333333333
100,2017,ctx-rh-paracentral,20,14,2,,11,3,3,,17,10,5,,16,9,3.333333333
101,2018,ctx-rh-parsopercularis,19,14,3,,22,19,1,,16,11,3,,19,14.66666667,2.333333333
102,2019,ctx-rh-parsorbitalis,1,0,1,,2,3,0,,3,3,3,,2,2,1.333333333
103,2020,ctx-rh-parstriangularis,15,13,0,,9,4,2,,15,12,0,,13,9.666666667,0.666666667
104,2021,ctx-rh-pericalcarine,0,4,0,,0,4,1,,0,2,1,,0,3.333333333,0.666666667
105,2022,ctx-rh-postcentral,118,72,42,,90,67,54,,114,78,48,,107.3333333,72.33333333,48
106,2023,ctx-rh-posteriorcingulate,10,1,1,,15,4,3,,8,2,2,,11,2.333333333,2
107,2024,ctx-rh-precentral,422,170,41,,430,181,35,,412,181,42,,421.3333333,177.3333333,39.33333333
108,2025,ctx-rh-precuneus,9,4,11,,7,11,9,,15,6,12,,10.33333333,7,10.66666667
109,2026,ctx-rh-rostralanteriorcingulate,0,0,0,,2,0,0,,0,0,0,,0.666666667,0,0
110,2027,ctx-rh-rostralmiddlefrontal,26,12,2,,21,18,5,,27,8,4,,24.66666667,12.66666667,3.666666667
111,2028,ctx-rh-superiorfrontal,210,98,20,,191,97,29,,206,85,25,,202.3333333,93.33333333,24.66666667
112,2029,ctx-rh-superiorparietal,36,48,33,,38,41,29,,32,39,15,,35.33333333,42.66666667,25.66666667
113,2030,ctx-rh-superiortemporal,1,8,2,,11,6,3,,10,10,9,,7.333333333,8,4.666666667
114,2031,ctx-rh-supramarginal,8,6,4,,13,6,7,,3,7,7,,8,6.333333333,6
115,2032,ctx-rh-frontalpole,0,0,1,,0,0,0,,0,0,0,,0,0,0.333333333
116,2033,ctx-rh-temporalpole,0,1,0,,0,0,0,,0,1,0,,0,0.666666667,0
117,2034,ctx-rh-transversetemporal,4,2,0,,1,2,2,,3,0,0,,2.666666667,1.333333333,0.666666667
118,2035,ctx-rh-insula,14,11,4,,11,12,8,,16,13,4,,13.66666667,12,5.333333333
